iter	Passed	Remaining
1056	6322	5640
1057	6327	5634
1058	6333	5628
1059	6339	5622
1060	6345	5615
1061	6351	5609
1062	6356	5603
1063	6362	5597
1064	6368	5591
1065	6381	5591
1066	6387	5585
1067	6394	5580
1068	6401	5575
1069	6408	5569
1070	6414	5564
1071	6420	5558
1072	6427	5552
1073	6433	5546
1074	6439	5540
1075	6445	5534
1076	6451	5528
1077	6457	5522
1078	6462	5516
1079	6469	5510
1080	6476	5506
1081	6482	5499
1082	6488	5493
1083	6494	5488
1084	6500	5481
1085	6506	5475
1086	6511	5469
1087	6517	5463
1088	6522	5456
1089	6528	5450
1090	6534	5444
1091	6539	5437
1092	6545	5431
1093	6550	5425
1094	6556	5418
1095	6561	5412
1096	6566	5405
1097	6574	5400
1098	6579	5394
1099	6585	5388
1100	6591	5382
1101	6597	5375
1102	6603	5369
1103	6608	5363
1104	6614	5357
1105	6619	5350
1106	6625	5344
1107	6631	5338
1108	6636	5332
1109	6642	5326
1110	6648	5319
1111	6653	5313
1112	6659	5307
1113	6665	5301
1114	6670	5294
1115	6676	5288
1116	6681	5281
1117	6687	5275
1118	6692	5268
1119	6697	5262
1120	6703	5256
1121	6709	5250
1122	6714	5243
1123	6720	5237
1124	6725	5231
1125	6731	5225
1126	6737	5218
1127	6742	5212
1128	6748	5206
1129	6753	5199
1130	6759	5193
1131	6764	5187
1132	6770	5181
1133	6776	5175
1134	6782	5168
1135	6787	5162
1136	6793	5156
1137	6798	5149
1138	6804	5143
1139	6810	5137
1140	6816	5131
1141	6822	5125
1142	6828	5119
1143	6834	5113
1144	6840	5107
1145	6845	5101
1146	6851	5095
1147	6857	5089
1148	6862	5082
1149	6868	5076
1150	6874	5070
1151	6879	5064
1152	6885	5057
1153	6890	5051
1154	6896	5045
1155	6902	5039
1156	6908	5033
1157	6913	5027
1158	6919	5020
1159	6924	5014
1160	6930	5008
1161	6936	5002
1162	6941	4995
1163	6947	4989
1164	6953	4983
1165	6958	4977
1166	6964	4971
1167	6969	4964
1168	6975	4958
1169	6981	4952
1170	6986	4946
1171	6992	4939
1172	6997	4933
1173	7003	4927
1174	7009	4921
1175	7015	4915
1176	7020	4909
1177	7026	4903
1178	7032	4896
1179	7037	4890
1180	7043	4884
1181	7049	4878
1182	7054	4872
1183	7060	4866
1184	7066	4860
1185	7072	4853
1186	7078	4847
1187	7083	4841
1188	7088	4835
1189	7094	4828
1190	7099	4822
1191	7105	4816
1192	7111	4810
1193	7116	4804
1194	7122	4797
1195	7127	4791
1196	7133	4785
1197	7139	4779
1198	7144	4772
1199	7150	4766
1200	7155	4760
1201	7161	4754
1202	7167	4748
1203	7172	4742
1204	7178	4736
1205	7184	4729
1206	7189	4723
1207	7195	4717
1208	7200	4711
1209	7206	4705
1210	7211	4698
1211	7217	4692
1212	7222	4686
1213	7229	4680
1214	7234	4674
1215	7240	4668
1216	7246	4662
1217	7251	4655
1218	7257	4649
1219	7263	4643
1220	7269	4637
1221	7274	4631
1222	7280	4625
1223	7286	4619
1224	7291	4613
1225	7297	4606
1226	7302	4600
1227	7308	4594
1228	7314	4588
1229	7319	4582
1230	7324	4575
1231	7330	4569
1232	7336	4563
1233	7341	4557
1234	7347	4551
1235	7353	4545
1236	7359	4539
1237	7364	4532
1238	7370	4526
1239	7375	4520
1240	7381	4514
1241	7387	4508
1242	7393	4502
1243	7399	4496
1244	7404	4490
1245	7410	4484
1246	7416	4478
1247	7421	4471
1248	7427	4465
1249	7432	4459
1250	7438	4453
1251	7444	4447
1252	7449	4441
1253	7455	4435
1254	7461	4429
1255	7467	4423
1256	7472	4416
1257	7477	4410
1258	7483	4404
1259	7488	4398
1260	7494	4391
1261	7500	4385
1262	7505	4379
1263	7511	4373
1264	7517	4367
1265	7523	4361
1266	7528	4355
1267	7534	4349
1268	7540	4343
1269	7545	4337
1270	7551	4331
1271	7556	4325
1272	7562	4318
1273	7568	4312
1274	7573	4306
1275	7579	4300
1276	7584	4294
1277	7590	4287
1278	7595	4281
1279	7601	4275
1280	7606	4269
1281	7612	4263
1282	7617	4257
1283	7623	4251
1284	7629	4245
1285	7635	4239
1286	7640	4232
1287	7646	4226
1288	7651	4220
1289	7657	4214
1290	7663	4208
1291	7668	4202
1292	7674	4196
1293	7680	4190
1294	7685	4184
1295	7691	4178
1296	7696	4171
1297	7702	4165
1298	7708	4159
1299	7713	4153
1300	7719	4147
1301	7725	4141
1302	7730	4135
1303	7736	4129
1304	7741	4123
1305	7747	4117
1306	7753	4110
1307	7758	4104
1308	7764	4098
1309	7769	4092
1310	7775	4086
1311	7780	4080
1312	7786	4074
1313	7792	4068
1314	7797	4061
1315	7803	4055
1316	7808	4049
1317	7814	4043
1318	7820	4037
1319	7826	4031
1320	7831	4025
1321	7837	4019
1322	7843	4013
1323	7848	4007
1324	7854	4001
1325	7860	3995
1326	7865	3989
1327	7871	3983
1328	7876	3976
1329	7882	3970
1330	7887	3964
1331	7893	3958
1332	7899	3952
1333	7904	3946
1334	7910	3940
1335	7916	3934
1336	7922	3928
1337	7927	3922
1338	7933	3916
1339	7939	3910
1340	7944	3904
1341	7950	3898
1342	7956	3892
1343	7961	3886
1344	7967	3880
1345	7973	3874
1346	7979	3868
1347	7984	3862
1348	7990	3856
1349	7995	3849
1350	8001	3843
1351	8006	3837
1352	8012	3831
1353	8018	3825
1354	8023	3819
1355	8029	3813
1356	8035	3807
1357	8040	3801
1358	8046	3795
1359	8051	3788
1360	8057	3782
1361	8062	3776
1362	8068	3771
1363	8074	3764
1364	8080	3758
1365	8085	3752
1366	8091	3746
1367	8097	3740
1368	8102	3734
1369	8108	3728
1370	8114	3722
1371	8119	3716
1372	8125	3710
1373	8131	3704
1374	8136	3698
1375	8142	3692
1376	8147	3686
1377	8153	3680
1378	8158	3674
1379	8164	3667
1380	8169	3661
1381	8175	3655
1382	8180	3649
1383	8186	3643
1384	8191	3637
1385	8197	3631
1386	8203	3625
1387	8208	3619
1388	8214	3613
1389	8220	3607
1390	8225	3601
1391	8231	3595
1392	8236	3589
1393	8242	3583
1394	8248	3577
1395	8253	3571
1396	8259	3565
1397	8265	3559
1398	8270	3552
1399	8276	3546
1400	8281	3540
1401	8287	3535
1402	8293	3529
1403	8299	3523
1404	8305	3517
1405	8311	3511
1406	8317	3505
1407	8322	3499
1408	8328	3493
1409	8334	3487
1410	8339	3481
1411	8345	3475
1412	8351	3469
1413	8356	3463
1414	8362	3457
1415	8368	3451
1416	8373	3445
1417	8379	3439
1418	8385	3433
1419	8390	3427
1420	8396	3421
1421	8401	3415
1422	8407	3409
1423	8413	3403
1424	8418	3396
1425	8424	3391
1426	8429	3384
1427	8435	3378
1428	8443	3373
1429	8449	3368
1430	8455	3362
1431	8461	3356
1432	8466	3350
1433	8472	3344
1434	8478	3338
1435	8484	3332
1436	8489	3326
1437	8495	3320
1438	8501	3314
1439	8507	3308
1440	8512	3302
1441	8518	3296
1442	8523	3290
1443	8529	3284
1444	8542	3280
1445	8548	3275
1446	8555	3269
1447	8562	3264
1448	8569	3258
1449	8576	3252
1450	8582	3247
1451	8588	3241
1452	8594	3235
1453	8600	3229
1454	8606	3223
1455	8612	3217
1456	8617	3211
1457	8623	3205
1458	8629	3199
1459	8634	3193
1460	8640	3187
1461	8646	3181
1462	8651	3175
1463	8657	3169
1464	8662	3163
1465	8668	3157
1466	8674	3151
1467	8680	3145
1468	8685	3139
1469	8691	3133
1470	8697	3127
1471	8703	3121
1472	8709	3115
1473	8714	3109
1474	8720	3103
1475	8725	3097
1476	8731	3091
1477	8736	3085
1478	8742	3079
1479	8747	3073
1480	8753	3067
1481	8759	3061
1482	8764	3055
1483	8770	3049
1484	8776	3043
1485	8781	3037
1486	8787	3031
1487	8793	3025
1488	8798	3019
1489	8804	3013
1490	8810	3007
1491	8816	3001
1492	8821	2995
1493	8827	2989
1494	8833	2983
1495	8838	2977
1496	8844	2971
1497	8850	2965
1498	8855	2959
1499	8861	2953
1500	8866	2947
1501	8872	2941
1502	8878	2935
1503	8883	2929
1504	8889	2923
1505	8895	2917
1506	8900	2911
1507	8906	2905
1508	8911	2899
1509	8917	2893
1510	8922	2887
1511	8928	2881
1512	8934	2875
1513	8940	2869
1514	8945	2863
1515	8951	2857
1516	8957	2851
1517	8962	2845
1518	8968	2839
1519	8974	2833
1520	8979	2827
1521	8985	2821
1522	8990	2815
1523	8996	2809
1524	9002	2803
1525	9007	2797
1526	9013	2791
1527	9019	2785
1528	9024	2779
1529	9030	2774
1530	9036	2768
1531	9041	2762
1532	9047	2756
1533	9053	2750
1534	9058	2744
1535	9064	2738
1536	9070	2732
1537	9075	2726
1538	9081	2720
1539	9087	2714
1540	9092	2708
1541	9098	2702
1542	9104	2696
1543	9109	2690
1544	9115	2684
1545	9121	2678
1546	9132	2674
1547	9138	2668
1548	9144	2662
1549	9150	2656
1550	9156	2650
1551	9162	2644
1552	9169	2639
1553	9175	2633
1554	9181	2627
1555	9186	2621
1556	9192	2615
1557	9198	2609
1558	9204	2603
1559	9209	2597
1560	9215	2591
1561	9220	2585
1562	9226	2579
1563	9232	2573
1564	9238	2567
1565	9244	2561
1566	9249	2555
1567	9255	2550
1568	9261	2544
1569	9267	2538
1570	9272	2532
1571	9278	2526
1572	9284	2520
1573	9290	2514
1574	9296	2508
1575	9301	2502
1576	9307	2496
1577	9312	2490
1578	9318	2484
1579	9324	2478
1580	9330	2472
1581	9336	2466
1582	9341	2460
1583	9347	2454
1584	9352	2448
1585	9358	2442
1586	9364	2436
1587	9369	2430
1588	9375	2425
1589	9380	2418
1590	9386	2413
1591	9392	2407
1592	9398	2401
1593	9403	2395
1594	9409	2389
1595	9415	2383
1596	9421	2377
1597	9426	2371
1598	9432	2365
1599	9437	2359
1600	9443	2353
1601	9449	2347
1602	9455	2341
1603	9460	2335
1604	9466	2329
1605	9472	2323
1606	9478	2317
1607	9484	2312
1608	9489	2306
1609	9495	2300
1610	9501	2294
1611	9506	2288
1612	9512	2282
1613	9518	2276
1614	9523	2270
1615	9529	2264
1616	9535	2258
1617	9540	2252
