,kontratTuru,kontratAdi,clearingQuantityAsk,clearingQuantityBid
166686,Blok,PB23031800-01,790.5,790.5
166687,Saatlik,PH23031800,925.6,925.6
166688,Saatlik,PH23031801,686.6,686.6
166689,Saatlik,PH23031802,603.9,603.9
166690,Saatlik,PH23031803,382.0,382.0
166691,Saatlik,PH23031804,423.4,423.4
166692,Blok,PB23031805-01,654.8,654.8
166693,Blok,PB23031805-03,100.0,100.0
166694,Blok,PB23031805-19,2.7,2.7
166695,Saatlik,PH23031805,713.2,713.2
166698,Blok,PB23031806-01,673.1,673.1
166699,Blok,PB23031806-02,4.5,4.5
166700,Saatlik,PH23031806,953.4,953.4
166704,Blok,PB23031807-01,627.1,627.1
166705,Blok,PB23031807-05,7.0,7.0
166706,Saatlik,PH23031807,1161.0,1161.0
166709,Blok,PB23031808-01,690.5,690.5
166710,Blok,PB23031808-02,0.8,0.8
166711,Saatlik,PH23031808,785.3,785.3
166715,Blok,PB23031809-01,675.5,675.5
166716,Blok,PB23031809-02,4.0,4.0
166717,Saatlik,PH23031809,1135.3,1135.3
166721,Blok,PB23031810-01,744.9,744.9
166722,Blok,PB23031810-08,75.0,75.0
166723,Saatlik,PH23031810,958.1,958.1
166727,Blok,PB23031811-01,794.8,794.8
166728,Blok,PB23031811-02,25.0,25.0
166729,Blok,PB23031811-13,1.0,1.0
166730,Saatlik,PH23031811,1798.4,1798.4
166735,Blok,PB23031812-01,799.4,799.4
166736,Blok,PB23031812-02,18.0,18.0
166737,Saatlik,PH23031812,1654.6,1654.6
166742,Blok,PB23031813-01,704.0,704.0
166743,Blok,PB23031813-03,0.2,0.2
166744,Saatlik,PH23031813,1015.6,1015.6
166749,Blok,PB23031814-01,783.8,783.8
166750,Blok,PB23031814-10,6.1,6.1
166751,Saatlik,PH23031814,1329.7,1329.7
166757,Blok,PB23031815-01,841.8,841.8
166758,Saatlik,PH23031815,1355.0,1355.0
166763,Blok,PB23031816-01,874.4,874.4
166764,Saatlik,PH23031816,1464.5,1464.5
166769,Blok,PB23031817-01,1057.2,1057.2
166770,Saatlik,PH23031817,1469.8,1469.8
166774,Blok,PB23031818-01,1059.1,1059.1
166775,Blok,PB23031818-02,0.8,0.8
