Type,Plant / Project name,Capacity (MW),Status,Start year,Latitude,Longitude,Location accuracy,City,GEM.Wiki URL
solar,Enerbes Polatli Biyogaz Santrali solar project,4.1,operating,,39.9208,32.854,approximate,Ankara,https://www.gem.wiki/Enerbes_Polatli_Biyogaz_Santrali_solar_project
solar,Era Erzincan Biyokutle Santrali solar project,8,operating,,39.6073,39.2013,approximate,Erzincan,https://www.gem.wiki/Era_Erzincan_Biyokutle_Santrali_solar_project
solar,Era Erzincan Biyokutle Santrali-2 solar project,3,operating,,39.6073,39.2013,approximate,Erzincan,https://www.gem.wiki/Era_Erzincan_Biyokutle_Santrali-2_solar_project
solar,Eregli MT solar project,10,operating,2018,37.724,33.937,approximate,,https://www.gem.wiki/Eregli_MT_solar_project
solar,Erentepe A solar project,5.9,operating,2017,37.3724,32.8252,approximate,Erentepe,https://www.gem.wiki/Erentepe_A_solar_project
solar,Erkar Enerji Uretim Tesisi solar project,1.6,operating,,39.6073,39.2013,approximate,Erzincan,https://www.gem.wiki/Erkar_Enerji_Uretim_Tesisi_solar_project
solar,Erzurum solar farm,5.3,operating,2016,39.9316,41.066,exact,Erzurum,https://www.gem.wiki/Erzurum_solar_farm
solar,Eskipazar solar project,6.6,operating,2017,40.923,32.7101,approximate,,https://www.gem.wiki/Eskipazar_solar_project
solar,Eti solar farm,45.4,operating,,37.4199,31.8456,approximate,,https://www.gem.wiki/Eti_solar_farm
solar,Eti solar farm,13.4,operating,,37.435,31.8481,exact,,https://www.gem.wiki/Eti_solar_farm
solar,Fernas-4 solar farm,20,operating,2020,37.1108,29.7229,exact,,https://www.gem.wiki/Fernas-4_solar_farm
solar,Firanlar solar project,9,operating,2019,39.766,29.4701,approximate,Firanlar,https://www.gem.wiki/Firanlar_solar_project
solar,Foca Biyogaz Enerji Santrali solar project,3.3,operating,,38.4237,27.1428,approximate,Izmir,https://www.gem.wiki/Foca_Biyogaz_Enerji_Santrali_solar_project
solar,G Hybrid solar project,7.2,operating,,40.055,26.9278,approximate,Canakkale,https://www.gem.wiki/G_Hybrid_solar_project
solar,Gelibolu Hybrid solar project,10.8,operating,,40.4193,26.6604,approximate,,https://www.gem.wiki/Gelibolu_Hybrid_solar_project
solar,Gencali A solar project,10,operating,2016,37.994,30.049,approximate,Gençali,https://www.gem.wiki/Gencali_A_solar_project
solar,Girlevik 3 Regulatoru Ve Karatus Hybrid solar project,3.6,operating,,39.6073,39.2013,approximate,Erzincan,https://www.gem.wiki/Girlevik_3_Regulatoru_Ve_Karatus_Hybrid_solar_project
solar,Gitas-1 solar farm,14,operating,2021,37.7366,33.5599,exact,Konya,https://www.gem.wiki/Gitas-1_solar_farm
solar,Gokbel I-Ii Hybrid solar project,19.7,operating,,37.9465,30.9602,approximate,Isparta,https://www.gem.wiki/Gokbel_I-Ii_Hybrid_solar_project
solar,Gokboget Hybrid solar project,3.3,operating,,37.9465,30.9602,approximate,Isparta,https://www.gem.wiki/Gokboget_Hybrid_solar_project
solar,Gonen B solar project,11,operating,2018,37.942,30.532,approximate,,https://www.gem.wiki/Gonen_B_solar_project
solar,Goodyear Kocaeli Kojenerasyon solar project,5.4,operating,,40.8217,29.9507,approximate,Kocaeli,https://www.gem.wiki/Goodyear_Kocaeli_Kojenerasyon_solar_project
solar,Gozlu Biyogaz Enerji Santrali solar project,1.1,operating,,37.8727,32.4924,approximate,Konya,https://www.gem.wiki/Gozlu_Biyogaz_Enerji_Santrali_solar_project
solar,Greenway Mersin Tower CSP solar farm,1.4,operating,2021,36.8657,34.6099,exact,,https://www.gem.wiki/Greenway_Mersin_Tower_CSP_solar_farm
solar,Gundogan solar project,15,operating,2018,36.9008,35.6852,approximate,Gündoğan,https://www.gem.wiki/Gundogan_solar_project
solar,Guney Hybrid solar project,3.2,operating,,37.8276,29.239,approximate,Denizli,https://www.gem.wiki/Guney_Hybrid_solar_project
solar,Guneykent (Vektor) solar project,18,operating,2017,38.0207,30.3565,approximate,Güneykent,https://www.gem.wiki/Guneykent_(Vektor)_solar_project
solar,Hacilar Hybrid solar project,13.3,operating,,38.3487,38.3191,approximate,Malatya,https://www.gem.wiki/Hacilar_Hybrid_solar_project
solar,Hadim solar project,5,operating,2015,36.924,32.691,approximate,,https://www.gem.wiki/Hadim_solar_project
solar,Halilbeyli Biyogaz Enerji Santrali solar project,4.6,operating,,38.4237,27.1428,approximate,Izmir,https://www.gem.wiki/Halilbeyli_Biyogaz_Enerji_Santrali_solar_project
solar,Hamal solar farm,9,operating,2018,39.0936,37.3331,exact,Sivas,https://www.gem.wiki/Hamal_solar_farm
solar,Hermancik solar project,10,operating,2018,40.7017,34.9366,approximate,,https://www.gem.wiki/Hermancik_solar_project
solar,Hilvan solar farm,32,operating,2018,37.5102,38.8994,exact,,https://www.gem.wiki/Hilvan_solar_farm
solar,Hisar Biogaz solar project,4.6,operating,,39.7744,30.5191,approximate,Eskisehir,https://www.gem.wiki/Hisar_Biogaz_solar_project
solar,Hybrid solar projectas Biyokutle Enerji Santrali,16.6,operating,,36.2026,36.1604,approximate,Hatay,https://www.gem.wiki/Hybrid_solar_projectas_Biyokutle_Enerji_Santrali
solar,Hybrid solar projectkopru-Sakarya,9.6,operating,,40.7732,30.4816,approximate,Sakarya,https://www.gem.wiki/Hybrid_solar_projectkopru-Sakarya
solar,Ibb Biyometanizayon Ve Enerji Uretim Tesisi solar project,1.5,operating,,41.0766,29.0525,approximate,Istanbul,https://www.gem.wiki/Ibb_Biyometanizayon_Ve_Enerji_Uretim_Tesisi_solar_project
solar,Ida Hybrid solar project,11.8,operating,,40.055,26.9278,approximate,Canakkale,https://www.gem.wiki/Ida_Hybrid_solar_project
solar,Ilica 2 solar project,5,operating,2017,39.9348,41.0642,approximate,Ilica,https://www.gem.wiki/Ilica_2_solar_project
solar,Ilica 5 solar project,5,operating,2018,39.9348,41.0758,approximate,Ilica,https://www.gem.wiki/Ilica_5_solar_project
solar,Ilica 6 solar project,5,operating,2019,39.9291,41.0713,approximate,Ilica,https://www.gem.wiki/Ilica_6_solar_project
solar,Imamaga A solar project,6,operating,2017,37.7501,38.311,approximate,İmamağa A,https://www.gem.wiki/Imamaga_A_solar_project
solar,Imamoglu solar project,4.5,operating,2017,37.327,35.684,approximate,,https://www.gem.wiki/Imamoglu_solar_project
solar,Incecik A solar project,10,operating,2016,38.354,37.3056,approximate,Incecik,https://www.gem.wiki/Incecik_A_solar_project
solar,Incesu B solar project,15,operating,2015,38.573,35.177,approximate,,https://www.gem.wiki/Incesu_B_solar_project
solar,Incesu solar project,7,operating,2016,38.205,33.784,approximate,,https://www.gem.wiki/Incesu_solar_project
solar,Inegol Osb Kojenerasyon solar project,11,operating,,39.9896,28.8945,approximate,Bursa,https://www.gem.wiki/Inegol_Osb_Kojenerasyon_solar_project
solar,İota M. Firinci solar farm,10,operating,,38.3487,38.3191,approximate,Malatya,https://www.gem.wiki/İota_M._Firinci_solar_farm
solar,Islahiye solar farm,25,operating,2017,37.071,36.684,exact,Islahiye,https://www.gem.wiki/Islahiye_solar_farm
solar,Ispir solar farm,5.1,operating,2017,39.9039,41.2726,approximate,,https://www.gem.wiki/Ispir_solar_farm
solar,Kahramanmaras Kojenerasyon Santrali solar project,16,operating,,37.5813,36.9275,approximate,Kahramanmaras,https://www.gem.wiki/Kahramanmaras_Kojenerasyon_Santrali_solar_project
solar,Kaman solar project,4,operating,2016,39.3373,33.5449,approximate,,https://www.gem.wiki/Kaman_solar_project
solar,Kamber A solar project,6,operating,2018,38.652,35.761,approximate,Talas,https://www.gem.wiki/Kamber_A_solar_project
solar,Kamber B solar project,5.4,operating,2018,38.6507,35.7581,approximate,Talas,https://www.gem.wiki/Kamber_B_solar_project
solar,Kangal solar farm,40,operating,,39.0162,37.2658,exact,Mağara,https://www.gem.wiki/Kangal_solar_farm
solar,Karaagac Reg. Ve Hybrid solar project,5.4,operating,,38.8574,28.0566,approximate,Manisa,https://www.gem.wiki/Karaagac_Reg._Ve_Hybrid_solar_project
solar,Karaalan solar farm,5.8,operating,2017,39.7761,30.5208,approximate,,https://www.gem.wiki/Karaalan_solar_farm
solar,Karadona solar project,5.9,operating,2016,38.052,33.019,approximate,Karatay,https://www.gem.wiki/Karadona_solar_project
solar,Karakus Reg. Ve Hybrid solar project,8.7,operating,,37.7602,38.2773,approximate,Adiyaman,https://www.gem.wiki/Karakus_Reg._Ve_Hybrid_solar_project
solar,Karaman Biyokutle Santrali solar project,2.5,operating,,37.1797,33.3384,approximate,Karaman,https://www.gem.wiki/Karaman_Biyokutle_Santrali_solar_project
solar,Karapınar Yeka solar farm,271,operating,2021,37.756,33.5599,exact,,https://www.gem.wiki/Karapınar_Yeka_solar_farm
solar,Kasar Ve Dual Tekstil solar project,10.5,operating,,40.9913,27.3676,approximate,Tekirdag,https://www.gem.wiki/Kasar_Ve_Dual_Tekstil_solar_project
solar,Kastamonu Entegre Kastamonu Kojenerasyon Santrali solar project,17.4,operating,,41.368,33.7619,approximate,Kastamonu,https://www.gem.wiki/Kastamonu_Entegre_Kastamonu_Kojenerasyon_Santrali_solar_project
solar,Kayseri Osb solar farm,50,operating,2015,38.7072,35.3346,exact,,https://www.gem.wiki/Kayseri_Osb_solar_farm
solar,Kecili A solar project,5,operating,2020,39.992,33.495,approximate,Kecili,https://www.gem.wiki/Kecili_A_solar_project
solar,Kinik Hybrid solar project,7.4,operating,,38.4237,27.1428,approximate,Izmir,https://www.gem.wiki/Kinik_Hybrid_solar_project
solar,Kiranharman solar farm,6.2,operating,2016,39.699,31.968,exact,,https://www.gem.wiki/Kiranharman_solar_farm
solar,Kirdamlari A solar project,6,operating,2017,38.619,28.254,approximate,Kirdamlari,https://www.gem.wiki/Kirdamlari_A_solar_project
solar,Kivanç 2 solar farm,35,operating,2020,36.5396,33.263,exact,,https://www.gem.wiki/Kivanç_2_solar_farm
solar,Kizilcam Reg. Ve Hybrid solar project,1.4,operating,,41.368,33.7619,approximate,Kastamonu,https://www.gem.wiki/Kizilcam_Reg._Ve_Hybrid_solar_project
solar,Kizildere Hybrid solar project,15,operating,,41.0918,29.7895,approximate,Denizli,https://www.gem.wiki/Kizildere_Hybrid_solar_project
solar,Kizkaraca A solar project,5.9,operating,2016,40.1847,34.7769,approximate,Kizkaraca,https://www.gem.wiki/Kizkaraca_A_solar_project
solar,Kızören solar farm,17.8,operating,,38.165,33.211,exact,,https://www.gem.wiki/Kızören_solar_farm
